#time,accel_x,accel_y,accel_z
824.165634,-7063.612315,1397.408398,-8901.300072
824.168191,918.843878,3579.662610,-9035.298138
824.170748,4000.799387,-325.423874,-8690.731683
824.173305,-1531.406464,-325.423874,-8403.592971
824.175862,-516.849682,4383.651003,-8135.596840
824.178419,5015.356170,1741.974853,-8690.731683
824.180994,-6374.479406,-976.271621,-9092.725880
824.183569,-3866.801322,4460.221326,-9226.723946
824.186144,1493.121302,-861.416136,-9150.153622
824.188719,-1282.552914,-2029.113565,-8786.444587
824.191294,2756.531635,2622.533570,-8403.592971
824.193869,1397.408398,957.129040,-9686.145885
824.196444,-1646.261949,746.560651,-9399.007173
824.199019,-6910.471669,2890.529701,-8403.592971
824.201594,1646.261949,1397.408398,-9265.009107
824.204170,2813.959378,-3560.520029,-8977.870395
824.206745,3694.518094,5455.635528,-7389.036189
824.209320,9992.427178,976.271621,-7848.458128
824.211895,1282.552914,-5972.485210,-8671.589102
824.214470,-4402.793584,535.992262,-9207.581365
824.217045,1397.408398,5742.774240,-8863.014910
824.219620,9724.431046,1493.121302,-7637.889739
824.222195,6776.473603,-1646.261949,-7714.460062
824.224770,-306.281293,1990.828403,-7695.317482
824.227345,-114.855485,-1473.978722,-10356.136213
824.229920,-2756.531635,574.277424,-9533.005238
824.232495,-153.140646,5379.065205,-7637.889739
824.235070,7427.321350,-2794.816797,-8250.452325
824.237645,918.843878,-1684.547110,-9016.155557
824.240220,-2679.961312,5627.918755,-8365.307810
824.242795,5455.635528,2852.244539,-9111.868461
824.245370,2603.390989,-2584.248408,-9150.153622
824.247946,-8269.594906,880.558717,-8212.167163
824.250521,1799.402595,2890.529701,-9303.294269
824.253096,3943.371645,-363.709035,-9896.714274
824.255671,-4039.084549,3349.951640,-7982.456194
824.258246,4747.360038,2794.816797,-8001.598774
824.260821,5034.498750,-1263.410333,-9647.860723
824.263396,-7752.745224,-19.142581,-8537.591037
824.265971,2316.252277,3924.229064,-8595.018779
824.268546,7886.743290,-1607.976787,-8709.874264
824.271121,114.855485,-4517.649069,-8097.311678
824.273696,3809.373579,1684.547110,-8537.591037
824.276271,-1263.410333,3981.656806,-9035.298138
824.278846,-8441.878133,-1837.687757,-9705.288466
824.281421,-10164.710405,5264.209720,-9131.011042
824.284004,2392.822600,1990.828403,-9303.294269
824.286587,6699.903280,-3541.377448,-8097.311678
824.289170,-421.136778,2718.246474,-7293.323285
824.291753,3311.666478,-76.570323,-8614.161360
824.294336,1856.830338,-2909.672282,-9437.292334
824.296919,-7867.600709,-1741.974853,-9035.298138
824.299502,-765.703232,5876.772306,-8882.157491
824.302085,6202.196179,-1435.693560,-8346.165229
824.304668,-3081.955509,344.566454,-8097.311678
824.307251,-2718.246474,2431.107762,-9303.294269
824.309833,3656.232933,-1339.980656,-9437.292334
824.312416,-7618.747158,2450.250342,-8709.874264
824.314999,-2565.105827,4938.785846,-8901.300072
824.317582,5723.631659,555.134843,-7465.606512
824.320165,650.847747,-5876.772306,-7503.891674
824.322748,2124.826469,842.273555,-9207.581365
824.325331,3790.230998,2890.529701,-7810.172966
824.327914,-3349.951640,-612.562586,-8518.448456
824.330497,-1512.263883,-229.710970,-8595.018779
824.333080,4383.651003,765.703232,-8288.737486
824.335663,-5149.354235,-918.843878,-7944.171032
824.338246,-5187.639397,4651.647134,-9073.583299
824.340828,4230.510357,1110.269686,-9399.007173
824.343411,5666.203917,1761.117434,-7714.460062
824.345994,1320.838075,-1397.408398,-8767.302006
824.348577,-2220.539373,1473.978722,-8901.300072
824.351160,3024.527766,-114.855485,-8614.161360
824.353743,-3981.656806,-1129.412267,-9303.294269
824.356326,-8633.303941,4402.793584,-9150.153622
824.358909,-287.138712,650.847747,-8575.876198
824.361492,-1952.543242,-2277.967115,-9456.434915
824.364075,-133.998066,1569.691626,-9188.438784
824.366658,-4019.941968,5666.203917,-7446.463931
824.369241,7101.897477,172.283227,-8652.446522
824.371824,-8059.026517,-1512.263883,-8614.161360
824.374406,8173.882002,5436.492947,-8882.157491
824.376989,4728.217458,-4689.932296,-8709.874264
824.379572,-3120.240670,-325.423874,-8786.444587
824.382155,1703.689691,3809.373579,-8480.163294
824.384738,-2565.105827,497.707101,-8958.727814
824.387327,-3541.377448,631.705166,-10164.710405
824.389916,2182.254211,3235.096155,-9035.298138
824.392504,6623.332957,-2182.254211,-7523.034254
824.395093,7274.180704,-5627.918755,-8173.882002
824.397682,-631.705166,2545.963246,-8939.585234
824.400270,459.421939,1837.687757,-8997.012976
824.402859,-1684.547110,-2469.392923,-9609.575562
824.405448,-5895.914886,861.416136,-8767.302006
824.408037,5455.635528,4728.217458,-8020.741355
824.410625,4919.643266,-1014.556782,-8843.872330
824.413214,-38.285162,-1167.697429,-8997.012976
824.415803,-1416.550979,2756.531635,-8135.596840
824.418391,8441.878133,-1971.685822,-9533.005238
824.420980,-5570.491013,2009.970984,-8863.014910
824.423569,-3503.092286,5474.778109,-9379.864592
824.426158,1722.832272,-3981.656806,-9934.999435
824.428746,-5417.350366,-1359.123237,-8767.302006
824.431335,765.703232,4364.508422,-9035.298138
824.433924,7063.612315,287.138712,-9877.571693
824.436512,-1531.406464,-1780.260014,-8461.020714
824.439101,2660.818731,-76.570323,-7580.461997
824.441690,7695.317482,210.568389,-8729.016845
824.444278,2928.814862,-267.996131,-9207.581365
824.446867,-3215.953574,2660.818731,-8250.452325
824.449456,5187.639397,-1339.980656,-9035.298138
824.452045,-114.855485,-1512.263883,-8824.729749
824.454633,-2086.541307,2718.246474,-8461.020714
824.457222,4900.500685,3426.521963,-9820.143950
824.459811,-5245.067139,-3541.377448,-9073.583299
824.462399,-3407.379382,2660.818731,-8135.596840
824.464988,7006.184573,-440.279358,-8863.014910
824.467577,612.562586,-3388.236802,-8939.585234
824.470166,5206.781978,-2986.242605,-8173.882002
824.472754,-2354.537438,5838.487144,-7848.458128
824.475343,-3943.371645,-248.853550,-9667.003304
824.477932,-8365.307810,172.283227,-9475.577496
824.480520,-2201.396792,3751.945837,-9131.011042
824.483109,9418.149754,-1416.550979,-8403.592971
824.485698,1875.972918,-1473.978722,-7216.752962
824.488287,-3637.090352,842.273555,-8346.165229
824.490792,918.843878,1339.980656,-10164.710405
824.493297,-2488.535504,-1301.695494,-9820.143950
824.495802,-5225.924558,5302.494882,-8307.880067
824.498308,2756.531635,497.707101,-8059.026517
824.500813,2622.533570,-4000.799387,-8671.589102
824.503318,325.423874,-593.420005,-9284.151688
824.505823,-210.568389,5359.922624,-9073.583299
824.508329,-4307.080680,-1493.121302,-8729.016845
824.510834,-6738.188442,-918.843878,-9284.151688
824.513339,3311.666478,3426.521963,-8767.302006
824.515844,-3790.230998,2124.826469,-8882.157491
824.518350,3675.375514,267.996131,-10011.569758
824.520855,-10317.851051,4479.363907,-9628.718142
824.523360,-2584.248408,1301.695494,-8671.589102
824.525865,4575.076811,-3081.955509,-9284.151688
824.528371,-3196.810994,3541.377448,-8422.735552
824.530876,-19.142581,2871.387120,-7523.034254
824.533381,1263.410333,-19.142581,-9245.866526
824.535886,-4862.215523,-976.271621,-9839.286531
824.538392,191.425808,2756.531635,-8059.026517
824.540897,2947.957443,57.427742,-9150.153622
824.543402,-10777.272990,2871.387120,-9169.296203
824.545907,-1493.121302,6010.770371,-8595.018779
824.548413,4938.785846,-2431.107762,-8843.872330
824.550918,-5015.356170,-1167.697429,-8231.309744
824.553423,7408.178770,4096.512291,-7714.460062
824.555929,5991.627790,-803.988394,-8269.594906
824.558434,-8250.452325,-1052.841944,-9628.718142
824.560939,-937.986459,5532.205851,-8729.016845
824.563444,-4441.078746,-861.416136,-8518.448456
824.565950,2163.111630,-4134.797453,-10088.140082
824.568455,2871.387120,4153.940034,-7618.747158
824.570960,8671.589102,497.707101,-7905.885870
824.573465,2201.396792,-3617.947771,-8958.727814
824.575971,-6393.621987,2392.822600,-9265.009107
824.578476,-2163.111630,3483.949706,-9705.288466
824.580981,1110.269686,-421.136778,-9169.296203
824.583486,535.992262,-459.421939,-7561.319416
824.585992,8939.585234,727.418070,-7848.458128
824.588497,3541.377448,-3196.810994,-9150.153622
824.591028,-3560.520029,899.701298,-9169.296203
824.593559,-1799.402595,2297.109696,-8805.587168
824.596090,2737.389054,-1244.267752,-8499.305875
824.598622,4919.643266,669.990328,-8193.024582
824.601153,3120.240670,3369.094221,-8690.731683
824.603684,1493.121302,-555.134843,-9399.007173
824.606215,-4747.360038,-1895.115499,-9475.577496
824.608746,-3177.668413,3694.518094,-9303.294269
824.611278,-19.142581,1914.258080,-9111.868461
824.613809,7006.184573,-1378.265818,-8939.585234
824.616340,-4957.928427,478.564520,-9399.007173
824.618871,-1875.972918,3771.088418,-8365.307810
824.621402,4383.651003,19.142581,-9265.009107
824.623933,-3388.236802,248.853550,-8748.159426
824.626465,2277.967115,765.703232,-7503.891674
824.628996,4900.500685,-784.845813,-8575.876198
824.631527,593.420005,727.418070,-8997.012976
824.634058,1914.258080,3943.371645,-8307.880067
824.636589,2565.105827,210.568389,-8480.163294
824.639121,3560.520029,-2373.680019,-9016.155557
